PUBLICATION_DATE,TAXA_ID,ALGAL_GROUP,CLASS,FAMILY,GENUS,ORDER,PHYLUM,SPECIES,TARGET_TAXON
4/25/2021,4006,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM MINUTISSIMUM,ACHNANTHIDIUM MINUTISSIMUM
4/25/2021,4007,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM RIVULARE,ACHNANTHIDIUM RIVULARE
4/25/2021,4008,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,,ACHNANTHIDIUM
4/25/2021,4009,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,EUCOCCONEIS,PENNALES,CHRYSOPHYTA,EUCOCCONEIS FLEXELLA,EUCOCCONEIS FLEXELLA
4/25/2021,4010,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,EUCOCCONEIS,PENNALES,CHRYSOPHYTA,,EUCOCCONEIS
4/25/2021,4011,DIATOM,BACILLARIOPHYCEAE,AMPHIPLEURACEAE,AMPHIPLEURA,PENNALES,CHRYSOPHYTA,AMPHIPLEURA PELLUCIDA,AMPHIPLEURA PELLUCIDA
4/25/2021,4012,DIATOM,BACILLARIOPHYCEAE,AMPHIPLEURACEAE,AMPHIPLEURA,PENNALES,CHRYSOPHYTA,,AMPHIPLEURA
4/25/2021,4013,DIATOM,BACILLARIOPHYCEAE,AMPHIPLEURACEAE,FRUSTULIA,PENNALES,CHRYSOPHYTA,FRUSTULIA RHOMBOIDES,FRUSTULIA RHOMBOIDES
4/25/2021,4014,DIATOM,BACILLARIOPHYCEAE,AMPHIPLEURACEAE,FRUSTULIA,PENNALES,CHRYSOPHYTA,FRUSTULIA VULGARIS,FRUSTULIA VULGARIS
4/25/2021,4015,DIATOM,BACILLARIOPHYCEAE,AMPHIPLEURACEAE,FRUSTULIA,PENNALES,CHRYSOPHYTA,,FRUSTULIA
4/25/2021,4016,DIATOM,BACILLARIOPHYCEAE,ANOMOEONEIDACEAE,ANOMOEONEIS,PENNALES,CHRYSOPHYTA,,ANOMOEONEIS
4/25/2021,4017,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,AULACOSEIRA ALPIGENA,AULACOSEIRA ALPIGENA
4/25/2021,4018,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,AULACOSEIRA AMBIGUA,AULACOSEIRA AMBIGUA
4/25/2021,4019,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,AULACOSEIRA GRANULATA,AULACOSEIRA GRANULATA
4/25/2021,4020,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,AULACOSEIRA ISLANDICA,AULACOSEIRA ISLANDICA
4/25/2021,4021,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,AULACOSEIRA ITALICA,AULACOSEIRA ITALICA
4/25/2021,4022,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,AULACOSEIRA SUBARCTICA,AULACOSEIRA SUBARCTICA
4/25/2021,4023,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,,AULACOSEIRA
4/25/2021,4024,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,BACILLARIA,PENNALES,CHRYSOPHYTA,BACILLARIA PARADOXA,BACILLARIA PARADOXA
4/25/2021,4025,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,BACILLARIA,PENNALES,CHRYSOPHYTA,BACILLARIA PAXILLIFER,BACILLARIA PAXILLIFER
4/25/2021,4026,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,CYLINDROTHECA,PENNALES,CHRYSOPHYTA,CYLINDROTHECA CLOSTERIUM,CYLINDROTHECA CLOSTERIUM
4/25/2021,4027,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,CYLINDROTHECA,PENNALES,CHRYSOPHYTA,CYLINDROTHECA GRACILIS,CYLINDROTHECA GRACILIS
4/25/2021,4028,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,CYLINDROTHECA,PENNALES,CHRYSOPHYTA,,CYLINDROTHECA
4/25/2021,4029,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,DENTICULA,PENNALES,CHRYSOPHYTA,,DENTICULA
4/25/2021,4030,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,HANTZSCHIA,PENNALES,CHRYSOPHYTA,,HANTZSCHIA
4/25/2021,4031,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA ACICULARIS,NITZSCHIA ACICULARIS
4/25/2021,4032,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA AMBIGUA,NITZSCHIA AMBIGUA
4/25/2021,4033,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA AMPHIBIA,NITZSCHIA AMPHIBIA
4/25/2021,4034,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA CLOSTERIUM,NITZSCHIA CLOSTERIUM
4/25/2021,4035,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA FRUTICOSA,NITZSCHIA FRUTICOSA
4/25/2021,4036,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA GRACILIS,NITZSCHIA GRACILIS
4/25/2021,4037,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA INCONSPICUA,NITZSCHIA INCONSPICUA
4/25/2021,4038,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA LAEVIS,NITZSCHIA LAEVIS
4/25/2021,4039,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA LINEARIS,NITZSCHIA LINEARIS
4/25/2021,4040,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA MICROCEPHALA,NITZSCHIA MICROCEPHALA
4/25/2021,4041,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA PALEA,NITZSCHIA PALEA
4/25/2021,4042,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA REVERSA,NITZSCHIA REVERSA
4/25/2021,4043,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA SIGMOIDEA,NITZSCHIA SIGMOIDEA
4/25/2021,4044,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA SINUATA,NITZSCHIA SINUATA
4/25/2021,4045,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,NITZSCHIA SUBACICULARIS,NITZSCHIA SUBACICULARIS
4/25/2021,4046,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,NITZSCHIA,PENNALES,CHRYSOPHYTA,,NITZSCHIA
4/25/2021,4047,DIATOM,BACILLARIOPHYCEAE,BACILLARIACEAE,TRYBLIONELLA,PENNALES,CHRYSOPHYTA,,TRYBLIONELLA
4/25/2021,4048,DIATOM,BACILLARIOPHYCEAE,BRACHYSIRACEAE,BRACHYSIRA,PENNALES,CHRYSOPHYTA,BRACHYSIRA NEOEXILIS,BRACHYSIRA NEOEXILIS
4/25/2021,4049,DIATOM,BACILLARIOPHYCEAE,BRACHYSIRACEAE,BRACHYSIRA,PENNALES,CHRYSOPHYTA,,BRACHYSIRA
4/25/2021,4050,DIATOM,BACILLARIOPHYCEAE,CATENULACEAE,AMPHORA,PENNALES,CHRYSOPHYTA,AMPHORA DELICATISSIMA,AMPHORA DELICATISSIMA
4/25/2021,4051,DIATOM,BACILLARIOPHYCEAE,CATENULACEAE,AMPHORA,PENNALES,CHRYSOPHYTA,AMPHORA LIBYCA,AMPHORA LIBYCA
4/25/2021,4052,DIATOM,BACILLARIOPHYCEAE,CATENULACEAE,AMPHORA,PENNALES,CHRYSOPHYTA,AMPHORA PEDICULUS,AMPHORA PEDICULUS
4/25/2021,4053,DIATOM,BACILLARIOPHYCEAE,CATENULACEAE,AMPHORA,PENNALES,CHRYSOPHYTA,AMPHORA PELLUCIDA,AMPHORA PELLUCIDA
4/25/2021,4054,DIATOM,BACILLARIOPHYCEAE,CATENULACEAE,AMPHORA,PENNALES,CHRYSOPHYTA,,AMPHORA
4/25/2021,4055,DIATOM,BACILLARIOPHYCEAE,CHAETOCEROTACAEA,CHAETOCEROS,CENTRALES,CHRYSOPHYTA,,CHAETOCEROS
4/25/2021,4056,DIATOM,BACILLARIOPHYCEAE,CYMBELLACEAE,CYMBELLA,PENNALES,CHRYSOPHYTA,CYMBELLA LANCEOLATA,CYMBELLA LANCEOLATA
4/25/2021,4057,DIATOM,BACILLARIOPHYCEAE,CYMBELLACEAE,CYMBELLA,PENNALES,CHRYSOPHYTA,CYMBELLA LEPTOCEROS,CYMBELLA LEPTOCEROS
4/25/2021,4058,DIATOM,BACILLARIOPHYCEAE,CYMBELLACEAE,CYMBELLA,PENNALES,CHRYSOPHYTA,CYMBELLA MICROCEPHALA,CYMBELLA MICROCEPHALA
4/25/2021,4059,DIATOM,BACILLARIOPHYCEAE,CYMBELLACEAE,CYMBELLA,PENNALES,CHRYSOPHYTA,CYMBELLA TURGIDULA,CYMBELLA TURGIDULA
4/25/2021,4060,DIATOM,BACILLARIOPHYCEAE,CYMBELLACEAE,CYMBELLA,PENNALES,CHRYSOPHYTA,,CYMBELLA
4/25/2021,4061,DIATOM,BACILLARIOPHYCEAE,DIADESMIDACEAE,DIADESMIS,PENNALES,CHRYSOPHYTA,DIADESMIS CONTENTA,DIADESMIS CONTENTA
4/25/2021,4062,DIATOM,BACILLARIOPHYCEAE,DIADESMIDACEAE,DIADESMIS,PENNALES,CHRYSOPHYTA,DIADESMIS PERPUSILLA,DIADESMIS PERPUSILLA
4/25/2021,4063,DIATOM,BACILLARIOPHYCEAE,DIATOMACEAE,CTENOPHORA,PENNALES,CHRYSOPHYTA,CTENOPHORA PULCHELLA,CTENOPHORA PULCHELLA
4/25/2021,4064,DIATOM,BACILLARIOPHYCEAE,DIATOMACEAE,DIATOMA,PENNALES,CHRYSOPHYTA,DIATOMA MESODON,DIATOMA MESODON
4/25/2021,4065,DIATOM,BACILLARIOPHYCEAE,DIATOMACEAE,DIATOMA,PENNALES,CHRYSOPHYTA,DIATOMA MONILIFORMIS,DIATOMA MONILIFORMIS
4/25/2021,4066,DIATOM,BACILLARIOPHYCEAE,DIATOMACEAE,DIATOMA,PENNALES,CHRYSOPHYTA,DIATOMA TENUE,DIATOMA TENUE
4/25/2021,4067,DIATOM,BACILLARIOPHYCEAE,DIATOMACEAE,DIATOMA,PENNALES,CHRYSOPHYTA,DIATOMA VULGARE,DIATOMA VULGARE
4/25/2021,4068,DIATOM,BACILLARIOPHYCEAE,DIATOMACEAE,DIATOMA,PENNALES,CHRYSOPHYTA,,DIATOMA
4/25/2021,4069,DIATOM,BACILLARIOPHYCEAE,EUNOTIACEAE,EUNOTIA,PENNALES,CHRYSOPHYTA,EUNOTIA BILUNARIS,EUNOTIA BILUNARIS
4/25/2021,4070,DIATOM,BACILLARIOPHYCEAE,EUNOTIACEAE,EUNOTIA,PENNALES,CHRYSOPHYTA,EUNOTIA FORMICA,EUNOTIA FORMICA
4/25/2021,4071,DIATOM,BACILLARIOPHYCEAE,EUNOTIACEAE,EUNOTIA,PENNALES,CHRYSOPHYTA,EUNOTIA PECTINALIS,EUNOTIA PECTINALIS
4/25/2021,4072,DIATOM,BACILLARIOPHYCEAE,EUNOTIACEAE,EUNOTIA,PENNALES,CHRYSOPHYTA,,EUNOTIA
4/25/2021,4073,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,FRAGILARIA CAPUCINA,FRAGILARIA CAPUCINA
4/25/2021,4074,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,FRAGILARIA CONSTRUENS,FRAGILARIA CONSTRUENS
4/25/2021,4075,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,FRAGILARIA CROTONENSIS,FRAGILARIA CROTONENSIS
4/25/2021,4076,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,FRAGILARIA GOULARDII,FRAGILARIA GOULARDII
4/25/2021,4077,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,FRAGILARIA MESOLEPTA,FRAGILARIA MESOLEPTA
4/25/2021,4078,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,FRAGILARIA VAUCHERIAE,FRAGILARIA VAUCHERIAE
4/25/2021,4079,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIA,PENNALES,CHRYSOPHYTA,,FRAGILARIA
4/25/2021,4080,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,FRAGILARIFORMA,PENNALES,CHRYSOPHYTA,,FRAGILARIFORMA
4/25/2021,4081,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,MERIDION,PENNALES,CHRYSOPHYTA,MERIDION ANCEPS,MERIDION ANCEPS
4/25/2021,4082,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,MERIDION,PENNALES,CHRYSOPHYTA,MERIDION CIRCULARE,MERIDION CIRCULARE
4/25/2021,4083,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,MERIDION,PENNALES,CHRYSOPHYTA,,MERIDION
4/25/2021,4084,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,PSEUDOSTAUROSIRA,PENNALES,CHRYSOPHYTA,PSEUDOSTAUROSIRA BREVISTRIATA,PSEUDOSTAUROSIRA BREVISTRIATA
4/25/2021,4085,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,PSEUDOSTAUROSIRA,PENNALES,CHRYSOPHYTA,PSEUDOSTAUROSIRA PARASITICA,PSEUDOSTAUROSIRA PARASITICA
4/25/2021,4086,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,PSEUDOSTAUROSIRA,PENNALES,CHRYSOPHYTA,,PSEUDOSTAUROSIRA
4/25/2021,4087,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,STAUROSIRA,PENNALES,CHRYSOPHYTA,STAUROSIRA CONSTRUENS,STAUROSIRA CONSTRUENS
4/25/2021,4088,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,STAUROSIRA,PENNALES,CHRYSOPHYTA,,STAUROSIRA
4/25/2021,4089,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,STAUROSIRELLA,PENNALES,CHRYSOPHYTA,,STAUROSIRELLA
4/25/2021,4090,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,SYNEDRA,PENNALES,CHRYSOPHYTA,SYNEDRA CAPITATA,SYNEDRA CAPITATA
4/25/2021,4091,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,SYNEDRA,PENNALES,CHRYSOPHYTA,SYNEDRA CYCLOPUM,SYNEDRA CYCLOPUM
4/25/2021,4092,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,SYNEDRA,PENNALES,CHRYSOPHYTA,SYNEDRA DELICATISSIMA,SYNEDRA DELICATISSIMA
4/25/2021,4093,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,SYNEDRA,PENNALES,CHRYSOPHYTA,SYNEDRA TENERA,SYNEDRA TENERA
4/25/2021,4094,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,SYNEDRA,PENNALES,CHRYSOPHYTA,SYNEDRA ULNA,SYNEDRA ULNA
4/25/2021,4095,DIATOM,BACILLARIOPHYCEAE,FRAGILARIACEAE,SYNEDRA,PENNALES,CHRYSOPHYTA,,SYNEDRA
4/25/2021,4096,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEIS,PENNALES,CHRYSOPHYTA,,GOMPHONEIS
4/25/2021,4097,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA ACUMINATUM,GOMPHONEMA ACUMINATUM
4/25/2021,4098,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA ANGUSTUM,GOMPHONEMA ANGUSTUM
4/25/2021,4099,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA APICATUM,GOMPHONEMA APICATUM
4/25/2021,4100,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA AUGUR,GOMPHONEMA AUGUR
4/25/2021,4101,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA CLAVATUM,GOMPHONEMA CLAVATUM
4/25/2021,4102,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA CORONATUM,GOMPHONEMA CORONATUM
4/25/2021,4103,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA GRACILE,GOMPHONEMA GRACILE
4/25/2021,4104,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA MINUTUM,GOMPHONEMA MINUTUM
4/25/2021,4105,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA PARVULUM,GOMPHONEMA PARVULUM
4/25/2021,4106,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,GOMPHONEMA TRUNCATUM,GOMPHONEMA TRUNCATUM
4/25/2021,4107,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHONEMA,PENNALES,CHRYSOPHYTA,,GOMPHONEMA
4/25/2021,4108,DIATOM,BACILLARIOPHYCEAE,GOMPHONENATACEAE,GOMPHOSPHENIA,PENNALES,CHRYSOPHYTA,,GOMPHOSPHENIA
4/25/2021,4109,DIATOM,BACILLARIOPHYCEAE,HEMIDISCACEAE,ACTINOCYCLUS,CENTRALES,CHRYSOPHYTA,,ACTINOCYCLUS
4/25/2021,4110,DIATOM,BACILLARIOPHYCEAE,MASTOGLOIACEAE,ANEUMASTUS,PENNALES,CHRYSOPHYTA,,ANEUMASTUS
4/25/2021,4111,DIATOM,BACILLARIOPHYCEAE,MASTOGLOIACEAE,MASTOGLOIA,PENNALES,CHRYSOPHYTA,MASTOGLOIA SMITHII,MASTOGLOIA SMITHII
4/25/2021,4112,DIATOM,BACILLARIOPHYCEAE,MASTOGLOIACEAE,MASTOGLOIA,PENNALES,CHRYSOPHYTA,,MASTOGLOIA
4/25/2021,4113,DIATOM,BACILLARIOPHYCEAE,MELOSIRACEAE,MELOSIRA,CENTRALES,CHRYSOPHYTA,MELOSIRA VARIANS,MELOSIRA VARIANS
4/25/2021,4114,DIATOM,BACILLARIOPHYCEAE,MELOSIRACEAE,MELOSIRA,CENTRALES,CHRYSOPHYTA,,MELOSIRA
4/25/2021,4115,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,AMPHIPRORA,PENNALES,CHRYSOPHYTA,,AMPHIPRORA
4/25/2021,4116,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,DIPLONEIS,PENNALES,CHRYSOPHYTA,DIPLONEIS ELLIPTICA,DIPLONEIS ELLIPTICA
4/25/2021,4117,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,DIPLONEIS,PENNALES,CHRYSOPHYTA,,DIPLONEIS
4/25/2021,4118,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,ENCYONEMA,PENNALES,CHRYSOPHYTA,ENCYONEMA MINUTUM,ENCYONEMA MINUTUM
4/25/2021,4119,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,ENCYONEMA,PENNALES,CHRYSOPHYTA,ENCYONEMA SILESIACUM,ENCYONEMA SILESIACUM
4/25/2021,4120,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,ENCYONEMA,PENNALES,CHRYSOPHYTA,,ENCYONEMA
4/25/2021,4121,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,ENCYONOPSIS,PENNALES,CHRYSOPHYTA,ENCYONOPSIS MICROCEPHALA,ENCYONOPSIS MICROCEPHALA
4/25/2021,4122,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,ENCYONOPSIS,PENNALES,CHRYSOPHYTA,,ENCYONOPSIS
4/25/2021,4123,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,ENTOMONEIS,PENNALES,CHRYSOPHYTA,ENTOMONEIS ORNATA,ENTOMONEIS ORNATA
4/25/2021,4124,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,ENTOMONEIS,PENNALES,CHRYSOPHYTA,,ENTOMONEIS
4/25/2021,4125,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,GEISSLERIA,PENNALES,CHRYSOPHYTA,GEISSLERIA DECUSSIS,GEISSLERIA DECUSSIS
4/25/2021,4126,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,GEISSLERIA,PENNALES,CHRYSOPHYTA,,GEISSLERIA
4/25/2021,4127,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,HIPPODONTA,PENNALES,CHRYSOPHYTA,,HIPPODONTA
4/25/2021,4128,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,NAVICULA,PENNALES,CHRYSOPHYTA,NAVICULA CRYPTOTENELLA,NAVICULA CRYPTOTENELLA
4/25/2021,4129,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,NAVICULA,PENNALES,CHRYSOPHYTA,NAVICULA GREGARIA,NAVICULA GREGARIA
4/25/2021,4130,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,NAVICULA,PENNALES,CHRYSOPHYTA,NAVICULA PHYLLEPTA,NAVICULA PHYLLEPTA
4/25/2021,4131,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,NAVICULA,PENNALES,CHRYSOPHYTA,NAVICULA RADIOSA,NAVICULA RADIOSA
4/25/2021,4132,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,NAVICULA,PENNALES,CHRYSOPHYTA,NAVICULA TRIVIALIS,NAVICULA TRIVIALIS
4/25/2021,4133,DIATOM,BACILLARIOPHYCEAE,NAVICULACEAE,NAVICULA,PENNALES,CHRYSOPHYTA,,NAVICULA
4/25/2021,4134,DIATOM,BACILLARIOPHYCEAE,NEIDIACEAE,NEIDIUM,PENNALES,CHRYSOPHYTA,,NEIDIUM
